fig1a.BY4742	fig1a.fob1	fig1a.gpa2	fig1a.gpr1	fig1a.hxk2	fig1b.BY4742	fig1b.fob1	fig1b.hxk2	fig1b.fob1.hxk2	fig1c.BY4742	fig1c.fob1	fig1c.gpa2	fig1c.fob1.gpa2	fig2a.BY4742	fig2a.sir2	fig2a.hxk2.sir2	fig2a.gpa2.sir2	fig2b.BY4742	fig2b.sir2	fig2b.sir2.fob1	fig2c.BY4742	fig2c.sir2.fob1	fig2c.sir2.fob1.hxk2	fig2d.BY4742	fig2d.sir2.fob1	fig2d.gpa2.sir2.fob1	fig3.by4742.2glucose	fig3.sir2.fob1.2glucose	fig3.by4742.05glucose	fig3.sir2.fob1.05glucose	fig3.WT.01glucose	fig3.sir2.fob1.01glucose	fig3.by4742.005glucose	fig3.sir2.fob1.005glucose	fig4a.PSY316	fig4a.PSY316.fob1	fig4a.PSY316.sir2ox	fig4b.BY4742.2glucose	fig4b.BY4742.05glucose	fig4b.by4742.SIR2-ox.2glucose	fig4b.by4742.SIR2-ox.05glucose
4	11	15	5	2	4	11	2	6	4	11	15	10	7	5	7	7	5	5	5	5	5	4	5	5	5	13	5	8	14	14	14	15	9	4	5	6	4	6	20	13
7	12	15	7	4	5	12	4	7	7	12	15	14	10	5	8	7	9	5	6	7	6	5	7	6	6	14	15	13	21	18	25	18	22	8	8	8	13	15	21	15
8	13	16	14	11	7	13	11	9	8	13	16	18	11	6	9	8	9	6	7	9	7	10	9	7	10	16	16	16	25	19	26	19	22	9	8	9	14	17	21	16
9	14	17	16	12	8	14	12	9	9	14	17	27	11	9	9	8	10	9	8	9	8	15	9	8	12	18	16	17	27	19	27	24	25	9	13	11	16	18	22	17
9	15	19	16	14	9	15	14	10	9	15	19	28	12	9	9	9	10	9	10	10	10	18	10	10	28	18	16	18	27	22	27	25	29	10	14	12	16	19	22	17
10	16	22	18	14	9	16	14	12	10	16	22	29	13	9	9	9	10	9	10	10	10	18	10	10	30	20	20	19	30	22	28	28	33	10	15	12	16	19	23	17
10	16	23	20	15	10	16	15	13	10	16	23	32	13	9	9	9	11	9	10	10	10	19	10	10	33	22	20	19	30	26	35	28	35	11	15	13	16	19	23	18
11	17	26	21	15	10	17	15	13	11	17	26	41	14	10	10	9	12	10	12	10	12	21	10	12	37	22	21	21	31	27	38	30	36	12	15	14	17	19	24	18
11	17	26	25	16	10	17	16	13	11	17	26	41	15	10	10	10	12	10	13	11	13	22	11	13	38	22	21	25	31	27	39	30	39	14	16	15	18	20	24	18
12	18	26	26	16	10	18	16	14	12	18	26	43	15	10	11	10	13	10	13	12	13	22	12	13	48	23	21	29	32	28	39	31	41	15	16	15	18	20	24	22
12	19	26	26	18	11	19	18	14	12	19	26	44	15	10	11	10	13	10	14	13	14	26	13	14	49	24	24	34	34	32	40	32	42	16	16	17	18	21	24	26
13	19	27	26	18	11	19	18	15	13	19	27	49	15	10	11	10	14	10	14	14	14	26	14	14	50	26	25	35	34	32	40	32	42	16	17	18	19	22	25	26
